player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Trevor Lawrence,Clemson,164.3,2,2018,2020,758.0,,66.6,10098.0,90.0,,,11041.0,108.0,8.9,9.8,,252.5,8.1
Paxton Lynch,Memphis,,2,2013,2015,758.0,1205.0,62.9,,,,,,,,,,233.2,
Caleb Evans,Louisiana-Monroe,,3,2016,2019,757.0,1252.0,,9513.0,,,1720.0,11681.0,94.0,,,,,6.8
Keith Price,Washington,,3,2010,2013,757.0,,64.0,,75.0,,,,85.0,,,,,
Kyle Vantrease,Georgia Southern,,5,2017,2022,757.0,1257.0,,,,,,,,,,,,6.7
Kurtis Rourke,Indiana,153.3,5,2019,2024,756.0,,67.3,9403.0,,,,10275.0,,8.4,8.8,,,7.5
Taylor Lamb,Appalachian State,145.9,3,2014,2017,754.0,1240.0,,9786.0,90.0,,1570.0,11795.0,113.0,,8.2,,,7.5
Brett Smith,Wyoming,,3,2011,2014,751.0,1212.0,62.0,,76.0,,1590.0,10365.0,97.0,,,,,
Kyle Orton,Purdue,,3,2001,2004,748.0,1262.0,,,,,1524.0,,,,,,,
Bo Wallace,Ole Miss,,2,2012,2014,747.0,,63.0,9534.0,,41.0,1581.0,10478.0,82.0,8.0,,,244.5,6.6
Greg Ward Jr.,Houston,144.5,3,2013,2016,747.0,,67.5,,,,1664.0,11080.0,93.0,,,,,6.7
Brogan Roback,Eastern Michigan,,4,2013,2017,745.0,1284.0,,,,,,,,,,,,
John Navarre,Michigan,,3,2000,2003,744.0,1327.0,,,70.0,,,,,,,,,
Brayden Schager,Hawaii,,3,2021,2024,742.0,1237.0,,,,,,,,,,,,
Jake Haener,Fresno State,156.2,4,2018,2022,740.0,,68.2,,68.0,,,,,8.4,8.9,,276.4,7.2
Colin Kaepernick,Nevada,,3,2007,2010,740.0,1271.0,,10098.0,82.0,,1871.0,14210.0,142.0,,8.4,13.6,,7.6
Max Duggan,TCU,,3,2019,2022,739.0,1225.0,,9618.0,73.0,,1713.0,11474.0,101.0,,8.0,,,6.7
Tyler Jones,Texas State,,3,2013,2016,739.0,,62.4,,,,1671.0,,,,,,,
Chase Brice,Appalachian State,,4,2018,2022,736.0,1227.0,,9451.0,73.0,,,9999.0,82.0,,,,,6.7
Tino Sunseri,Pitt,,3,2009,2012,736.0,,64.5,,,,,,,,,,,
Jack Trudeau,Illinois,,4,1981,1985,736.0,,63.9,,,,,,,,,,,
Ryan Hart,Rutgers,,3,2002,2005,735.0,1217.0,,,,52.0,,,,,,,,
Jeremy Leach,New Mexico,,3,1988,1991,735.0,1432.0,,9382.0,,62.0,1695.0,,,,,,,
Caleb Williams,USC,169.3,2,2021,2023,735.0,,66.9,10082.0,93.0,,,11048.0,120.0,9.2,10.3,13.7,272.5,8.0
Dak Prescott,Mississippi State,146.0,3,2012,2015,734.0,,62.8,9376.0,70.0,,1705.0,11897.0,114.0,,8.3,,,7.0
Erik Ainge,Tennessee,,3,2004,2007,733.0,1210.0,,,72.0,,,,,,,,,
Taylor Potts,Texas Tech,,3,2007,2010,733.0,,66.3,,,,,,,,,,,
Spencer Keith,Kent State,,3,2009,2012,732.0,1316.0,,,,40.0,1548.0,,,,,,,
G.J. Kinne,Tulsa,144.8,2,2009,2011,732.0,,61.3,9472.0,81.0,,1629.0,10831.0,96.0,,8.1,,249.3,6.6
Tyler Tettleton,Ohio,,4,2009,2013,732.0,,62.4,9129.0,67.0,,1521.0,10039.0,83.0,,,,,
