player_id,player_name,weight,height,school,grade
50517,Vernon Adams Jr.,200.0,70.875,Oregon,33.0
49996,Mike Bercovici,206.0,72.5,Arizona State,31.0
51705,Mitchell Trubisky,222.0,74.125,North Carolina,89.0
52092,Patrick Mahomes,225.0,74.0,Texas Tech,85.0
51563,Deshaun Watson,221.0,74.5,Clemson,88.0
51681,DeShone Kizer,233.0,76.25,Notre Dame,82.0
51680,Davis Webb,229.0,76.625,California,73.0
51564,C.J. Beathard,219.0,74.5,Iowa,59.0
51565,Joshua Dobbs,216.0,75.375,Tennessee,79.0
51779,Nathan Peterman,226.0,74.5,Pittsburgh,77.0
51567,Brad Kaaya,214.0,75.875,Miami,69.0
52048,Alek Torgersen,218.0,74.375,Pennsylvania,35.0
51569,Mitch Leidner,226.0,75.5,Minnesota,31.0
101525,Baker Mayfield,215.0,72.625,Oklahoma,91.0
101504,Sam Darnold,221.0,75.375,USC,94.0
101505,Josh Allen,237.0,76.875,Wyoming,92.0
101506,Josh Rosen,226.0,76.0,UCLA,92.0
101568,Lamar Jackson,216.0,74.25,Louisville,87.0
101545,Mason Rudolph,235.0,76.625,Oklahoma State,79.0
101735,Kyle Lauletta,222.0,74.625,Richmond,78.0
101717,Mike White,224.0,76.625,Western Kentucky,68.0
101541,Luke Falk,215.0,75.625,Washington State,71.0
101764,Tanner Lee,218.0,76.25,Nebraska,45.0
102020,Danny Etling,222.0,74.5,LSU,30.0
102585,Alex Mcgough,212.0,74.625,Florida International,30.0
101859,Logan Woodside,213.0,73.25,Toledo,51.0
101828,Kyle Allen,211.0,75.0,Houston,50.0
101829,Chase Litton,232.0,77.0,Marshall,44.0
101616,Kurt Benkert,218.0,74.625,Virginia,43.0
101591,Riley Ferguson,212.0,74.75,Memphis,34.0
101864,Austin Allen,209.0,72.0,Arkansas,31.0
103832,Kyler Murray,207.0,70.125,Oklahoma,90.0
103572,Daniel Jones,221.0,77.125,Duke,80.0
103560,Dwayne Haskins,231.0,75.375,Ohio State,90.0
103589,Drew Lock,228.0,75.75,Missouri,89.0
103539,Will Grier,217.0,74.5,West Virginia,68.0
103552,Ryan Finley,213.0,76.0,NC State,88.0
103564,Jarrett Stidham,218.0,74.375,Auburn,81.0
103813,Easton Stick,224.0,73.25,North Dakota State,35.0
103610,Clayton Thorson,222.0,76.0,Northwestern,65.0
103586,Gardner Minshew,225.0,72.875,Washington State,49.0
103637,Trace McSorley,202.0,72.125,Penn State,46.0
103883,Tyree Jackson,249.0,79.0,Buffalo,66.0
103701,Brett Rypien,210.0,73.625,Boise State,38.0
104204,Joe Burrow,221.0,75.5,LSU,94.0
104093,Tua Tagovailoa,217.0,72.0,Alabama,93.0
104099,Justin Herbert,236.0,78.25,Oregon,89.0
104199,Jordan Love,224.0,75.75,Utah State,90.0
104214,Jalen Hurts,222.0,73.0,Oklahoma,70.0
104196,Jacob Eason,231.0,77.875,Washington,81.0
104646,James Morgan,229.0,76.0,Florida International,54.0
104128,Jake Fromm,219.0,73.875,Georgia,82.0
104628,Jake Luton,224.0,78.125,Oregon State,47.0
104459,Cole McDonald,215.0,75.125,Hawai'i,45.0
104701,Ben DiNucci,210.0,75.0,James Madison,
104707,Tommy Stevens,235.0,77.0,Mississippi State,
104154,Nate Stanley,235.0,75.75,Iowa,56.0
104233,Anthony Gordon,205.0,74.375,Washington State,57.0
104229,Steven Montez,231.0,76.0,Colorado,41.0
104143,Brian Lewerke,213.0,74.5,Michigan State,36.0
