Player,Years Active,Career Earnings,Cap-Inflated Earnings,Earnings By Team
Paxton Lynch,2016‑2019,"$8,829,377","$13,889,814","Broncos: $8,334,083 Steelers: $495,294"
Jeff Driskel,2016‑,"$8,069,732","$10,750,672","Texans: $2,887,733 Broncos: $2,500,000 Bengals: $1,527,706 Lions: $513,353 Cardinals: $348,400 Browns: $180,000 49ers: $112,540"
Joshua Dobbs,2017‑,"$7,836,424","$10,062,304","Steelers: $3,482,065 Browns: $1,535,000 Vikings: $833,333 Cardinals: $666,667 Jaguars: $607,059 49ers: $500,000 Titans: $172,500 Lions: $39,800"
Jarrett Stidham,2019‑,"$7,621,112","$9,322,587","Broncos: $4,000,000 Patriots: $2,656,112 Raiders: $965,000"
Sean Mannion,2015‑2023,"$7,191,362","$10,388,140","Vikings: $3,371,022 Rams: $3,250,896 Seahawks: $569,444"
Tim Boyle,2018‑,"$7,005,800","$9,075,431","Lions: $3,934,800 Packers: $1,806,000 Jets: $815,600 Bears: $345,000 Texans: $61,800 Dolphins: $42,600"
Brandon Allen,2016‑,"$6,882,242","$9,069,857","Bengals: $3,423,176 49ers: $1,532,500 Rams: $707,294 Broncos: $645,000 Jaguars: $574,272"
Cooper Rush,2017‑,"$6,717,529","$8,516,876","Cowboys: $6,531,529 Giants: $186,000"
Nick Mullens,2017‑,"$6,525,138","$8,171,638","Vikings: $3,363,000 49ers: $1,869,694 Raiders: $692,000 Browns: $400,444 Eagles: $200,000"
Brett Hundley,2015‑2022,"$6,049,354","$8,736,681","Cardinals: $2,922,500 Packers: $1,798,632 Seahawks: $705,000 Colts: $484,000 Ravens: $123,822 Saints: $15,400"
Ryan Griffin,2017‑2022,"$5,941,000","$8,344,451","Buccaneers: $5,783,200 Saints: $157,800"
Kyle Allen,2018‑,"$5,937,330","$7,412,687","Texans: $2,397,059 Commanders: $1,525,000 Bills: $1,232,500 Panthers: $615,271 Steelers: $167,500"
Davis Mills,2021‑,"$5,865,996","$6,950,056","Texans: $5,865,996"
Nathan Peterman,2017‑,"$5,605,301","$7,343,699","Raiders: $2,588,200 Bears: $1,906,122 Bills: $1,030,979 Saints: $80,000"
Phillip Walker,2017‑2023,"$5,551,733","$6,814,276","Panthers: $2,460,000 Bears: $2,010,000 Browns: $796,933 Colts: $284,800"
Johnny Manziel,2014‑2015,"$5,533,916","$10,517,259","Browns: $5,533,916"
Landry Jones,2013‑2017,"$5,238,632","$8,880,864","Steelers: $5,099,220 Jaguars: $139,412"
Easton Stick,2019‑,"$5,231,120","$6,505,480","Chargers: $5,231,120"
Austin Davis,2012‑2017,"$5,214,235","$9,057,256","Browns: $1,533,529 Broncos: $1,250,000 Rams: $1,247,353 Seahawks: $1,084,412 Titans: $92,941 Dolphins: $6,000"
Bruce Gradkowski,2013‑2015,"$5,163,235","$9,931,505","Steelers: $5,163,235"
Kellen Clemens,2014‑2017,"$5,145,000","$8,957,719","Chargers: $5,145,000"
Tyler Huntley,2020‑,"$5,097,228","$6,050,886","Ravens: $4,627,328 Browns: $469,900"
Will Levis,2023‑,"$4,689,752","$5,328,126","Titans: $4,689,752"
Will Grier,2019‑,"$4,642,969","$5,977,113","Panthers: $1,992,180 Cowboys: $1,781,289 Patriots: $648,300 Chargers: $180,000 Bengals: $41,200"
Joe Webb,2010‑2019,"$4,303,309","$7,372,720","Vikings: $2,032,515 Texans: $2,025,000 Giants: $197,794 Lions: $48,000"
Tyler Bray,2015‑2020,"$4,182,602","$6,408,975","Chiefs: $2,966,250 Bears: $1,197,952 49ers: $18,400"
Kyle Trask,2021‑,"$4,120,518","$5,302,680","Buccaneers: $4,120,518"
Matt McGloin,2013‑2016,"$4,108,588","$7,141,600","Raiders: $4,038,000 Texans: $45,588 Eagles: $25,000"
DeShone Kizer,2017‑2020,"$3,942,628","$5,780,574","Browns: $2,203,844 Raiders: $962,856 Packers: $689,928 Titans: $86,000"
Brett Rypien,2019‑,"$3,707,177","$4,681,845","Broncos: $2,745,377 Rams: $540,000 Jets: $300,000 Seahawks: $121,800"
John Wolford,2019‑2023,"$3,696,911","$4,578,091","Rams: $2,571,000 Buccaneers: $1,125,911"
Scott Tolzien,2016‑2017,"$3,607,294","$5,777,669","Colts: $3,500,000 Packers: $107,294"
David Fales,2014‑2019,"$3,257,763","$4,981,857","Dolphins: $1,285,882 Jets: $965,162 Bears: $906,719 Ravens: $100,000"
T.J. Yates,2011‑2017,"$3,210,471","$6,181,474","Texans: $1,990,294 Falcons: $1,020,000 Dolphins: $134,118 Bills: $66,059"
Logan Woodside,2019‑,"$3,084,462","$3,899,113","Titans: $1,755,855 Falcons: $1,258,611 Bengals: $69,996"
David Blough,2019‑2023,"$3,083,565","$3,988,190","Lions: $2,494,271 Cardinals: $290,694 Vikings: $278,600 Browns: $20,000"
Kevin Hogan,2016‑2021,"$3,054,492","$4,425,240","Broncos: $1,290,000 Browns: $892,147 Texans: $302,500 Titans: $228,600 Chiefs: $227,716 Bengals: $113,529"
